HORA_VENTA,Lunes,Martes,MiÃ©rcoles,Jueves,Viernes,SÃ¡bado,Domingo,SUCURSAL
11.0,0.0489510489510489,0.0362446513969292,0.0585207260904903,0.0541709053916581,0.0732459521973785,0.0434782608695652,0.1847133757961783,INTERNET
11.0,0.131458469587966,0.1283354510800508,0.1185013681330246,0.1396635679504205,0.1028385295486272,0.1760374832663989,0.0128865979381443,MERCADOLIBRE
11.0,0.0549872122762148,0.0174672489082969,0.0218023255813953,0.0411585365853658,0.0146627565982404,0.2153558052434457,0.1564482029598308,AMAZON
12.0,0.198386745149335,0.1766200762388818,0.172805725110503,0.2014165559982293,0.2098650535132619,0.2520080321285141,0.0721649484536082,MERCADOLIBRE
12.0,0.0636863136863136,0.0679587213692423,0.0590625846654023,0.0666327568667344,0.065792855307119,0.0611916264090177,0.2094833687190375,INTERNET
12.0,0.078005115089514,0.0451237263464337,0.0465116279069767,0.048780487804878,0.0410557184750733,0.0861423220973782,0.1416490486257928,AMAZON
13.0,0.1497710922171354,0.1692079627276577,0.1662807829930541,0.1697653829127932,0.1761284318287575,0.1844042838018741,0.165807560137457,MERCADOLIBRE
13.0,0.1663336663336663,0.1386861313868613,0.1118937957193172,0.1335198372329603,0.1398098175276278,0.1477455716586151,0.1415428167020523,INTERNET
13.0,0.1074168797953964,0.0858806404657933,0.065406976744186,0.0884146341463414,0.1202346041055718,0.1086142322097378,0.0761099365750528,AMAZON
14.0,0.1778940483976455,0.1357475645912748,0.1443906545990317,0.130588756086764,0.1416938110749185,0.1060910307898259,0.2736254295532646,MERCADOLIBRE
14.0,0.1728271728271728,0.1608356405738736,0.1590354917366567,0.1406408952187182,0.147005911076844,0.177938808373591,0.0750176928520877,INTERNET
14.0,0.0792838874680307,0.0771470160116448,0.0377906976744186,0.0579268292682926,0.0879765395894428,0.0730337078651685,0.1775898520084566,AMAZON
15.0,0.0792838874680307,0.0713245997088791,0.1162790697674418,0.0853658536585365,0.0659824046920821,0.0318352059925093,0.0359408033826638,AMAZON
15.0,0.1270983213429256,0.1416772554002541,0.14944222268996,0.1179725542275343,0.1330851558864588,0.1258366800535475,0.0601374570446735,MERCADOLIBRE
15.0,0.1211288711288711,0.1308834633778001,0.1005147656461663,0.1152085452695829,0.1156515034695451,0.1171497584541062,0.0573248407643312,INTERNET
16.0,0.0379332897318508,0.0357899195256247,0.0509366449168596,0.0391766268260292,0.0234993020009306,0.0338018741633199,0.2079037800687285,MERCADOLIBRE
16.0,0.0396419437340153,0.0422125181950509,0.0232558139534883,0.0274390243902439,0.0278592375366568,0.0617977528089887,0.1543340380549683,AMAZON
16.0,0.0726773226773226,0.0674553234331739,0.0999729070712544,0.0859613428280773,0.0562837316885119,0.0905797101449275,0.1196036801132342,INTERNET
17.0,0.0115089514066496,0.0276564774381368,0.0087209302325581,0.0518292682926829,0.0689149560117302,0.0692883895131086,0.1035940803382663,AMAZON
17.0,0.0089383039023326,0.0076238881829733,0.0031572300568301,0.0104028331119964,0.0144253140995812,0.0117135207496653,0.1275773195876288,MERCADOLIBRE
17.0,0.0457042957042957,0.0503397936068462,0.0449742617176916,0.048321464903357,0.0431765612952968,0.0458937198067632,0.1111111111111111,INTERNET
18.0,0.0447052947052947,0.0440473194059904,0.0541858574911948,0.0376398779247202,0.0452325880236443,0.0330112721417069,0.0608634111818825,INTERNET
18.0,0.039895356442119,0.0249894112664125,0.0193643443485582,0.0276671093404161,0.0207073057235923,0.001673360107095,0.0738831615120274,MERCADOLIBRE
18.0,0.057544757033248,0.0625909752547307,0.0872093023255814,0.0609756097560975,0.0703812316715542,0.0505617977528089,0.0930232558139534,AMAZON
19.0,0.0516983016983016,0.0649383337528316,0.0568951503657545,0.0567141403865717,0.0429195579542534,0.0289855072463768,0.0148619957537154,INTERNET
19.0,0.0379332897318508,0.0472257518000847,0.0521995369395916,0.0429393536963258,0.0509539320614239,0.000334672021419,0.0055841924398625,MERCADOLIBRE
19.0,0.1138107416879795,0.0727802037845705,0.1017441860465116,0.1158536585365853,0.0263929618768328,0.0299625468164794,0.0465116279069767,AMAZON
20.0,0.0002497502497502,0.0007550969041026,0.0016255757247358,0.0,0.0002570033410434,0.002415458937198,0.0,INTERNET
